"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bc5674_261_thumb.jpg","1975",1250,1250,1,32,0.002385,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,48,0.039011,0
"bc5674_261_thumb.jpg","1975",1250,1250,1,64,0.052228,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,0,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,4,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,8,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,12,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,16,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,20,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,24,0,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,32,9e-06,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,48,0.03754,0
"bc5674_262_thumb.jpg","1975",1250,1250,1,64,0.049807,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,0,0.002124,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,4,0.002319,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,8,0.002333,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,12,0.002342,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,16,0.002346,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,20,0.002358,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,24,0.002364,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,32,0.00239,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,48,0.042102,0
"bc5674_263_thumb.jpg","1975",1250,1250,1,64,0.053299,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,0,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,4,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,8,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,12,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,16,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,20,0,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,24,4e-06,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,32,1e-05,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,48,0.042704,0
"bc5674_264_thumb.jpg","1975",1250,1250,1,64,0.05056,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,0,0.00125,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,4,0.002364,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,8,0.002383,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,12,0.002388,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,16,0.002431,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,20,0.007015,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,24,0.033489,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,32,0.046861,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,48,0.050709,0
"bc5675_002_thumb.jpg","1975",1250,1250,1,64,0.052072,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,0,0.003919,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,4,0.025488,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,8,0.027868,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,12,0.028719,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,16,0.029377,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,20,0.030393,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,24,0.031597,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,32,0.034596,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,48,0.049852,0
"bc77033_093_thumb.jpg","1977",1250,1250,1,64,0.084657,0.003933
"bc77033_094_thumb.jpg","1977",1250,1250,1,0,0.00238,0
"bc77033_094_thumb.jpg","1977",1250,1250,1,4,0.025944,0
"bc77033_094_thumb.jpg","1977",1250,1250,1,8,0.036218,0
"bc77033_094_thumb.jpg","1977",1250,1250,1,12,0.03982,0
"bc77033_094_thumb.jpg","1977",1250,1250,1,16,0.044174,0
"bc77033_094_thumb.jpg","1977",1250,1250,1,20,0.047587,1e-06
"bc77033_094_thumb.jpg","1977",1250,1250,1,24,0.051336,0.000216
"bc77033_094_thumb.jpg","1977",1250,1250,1,32,0.056648,0.001065
"bc77033_094_thumb.jpg","1977",1250,1250,1,48,0.06702,0.003992
"bc77033_094_thumb.jpg","1977",1250,1250,1,64,0.08294,0.005993
"bc77033_095_thumb.jpg","1977",1250,1250,1,0,0.003889,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,4,0.025123,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,8,0.027775,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,12,0.028636,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,16,0.029409,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,20,0.03026,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,24,0.031322,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,32,0.034955,0
"bc77033_095_thumb.jpg","1977",1250,1250,1,48,0.050234,0.00213
"bc77033_095_thumb.jpg","1977",1250,1250,1,64,0.070645,0.005686
"bc77033_096_thumb.jpg","1977",1250,1250,1,0,0.002625,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,4,0.025521,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,8,0.028294,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,12,0.029531,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,16,0.031075,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,20,0.03236,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,24,0.034423,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,32,0.042853,0
"bc77033_096_thumb.jpg","1977",1250,1250,1,48,0.054452,0
