airp_id,arm,run_id,stratum,holdout,scale_n,focal_length,flying_height,relief_coarse,bearing,ref_ok,ref_agl,ref_area,ref_elev,ref_sd,ref_range,ref_grad,ref_n,nominal_area
1174545,native,s4_6,scale_coarse/relief_q4,TRUE,40000,153,8382,391.85,84.36,TRUE,7228.96,116659692,1148.365,483.334,1836.2,0.103548,129093,83612736
1192583,native,s6_6,scale_fine/relief_q2,FALSE,10000,153,2103,120.45,22.83,TRUE,1424.25,4528372,679.532,111.486,392.51,0.117364,4958,5225796
1233842,native,s9_7,scale_mid/relief_q1,TRUE,15840,305,5639,21.68,358.23,TRUE,5249.69,15481769,389.307,14.739,63.93,0.0103109,16304,13111815
1241853,native,s12_4,scale_mid/relief_q4,TRUE,15840,305,6096,272.16,132.21,TRUE,5014.74,14126970,1081.285,112.841,568.74,0.0984104,15412,13111815
1243708,native,s12_9,scale_mid/relief_q4,FALSE,15840,305,6096,242.21,132.63,TRUE,5229.64,15363747,866.011,209.99,810.56,0.124068,16721,13111815
1246635,native,s12_2,scale_mid/relief_q4,FALSE,15840,305,6096,275.26,85.55,TRUE,4609.32,11935134,1486.676,95.958,590.41,0.0874142,13216,13111815
1251265,native,s2_9,scale_coarse/relief_q2,FALSE,32000,153,6096,126.43,177.13,TRUE,5130.93,58770819,965.006,151.851,722.14,0.0554312,63379,53512151
1257727,native,s1_7,scale_coarse/relief_q1,FALSE,32000,153,5486,16.68,264.51,TRUE,4780.24,51011660,705.765,20.176,123.43,0.00365224,53943,53512151
1259460,native,s10_7,scale_mid/relief_q2,FALSE,15840,153,3962,90.99,326.56,TRUE,2662.91,15830114,1298.369,108.423,414.09,0.00433324,17587,13111815
1293467,native,s8_6,scale_fine/relief_q4,FALSE,15000,153,2743,318.98,38.27,TRUE,2349.21,12320111,393.57,260.914,984.38,0.228505,13194,11758041
1313521,native,s10_8,scale_mid/relief_q2,FALSE,20000,305,6096,120.96,262.4,TRUE,4995.57,14019205,1100.462,60.443,309.32,0.0391217,15323,20903184
1321928,native,s10_4,scale_mid/relief_q2,FALSE,16000,305,6096,73.42,NA,TRUE,4479.1,11270290,1616.912,37.306,164.62,0.0089406,12293,13378038
1327334,native,s11_1,scale_mid/relief_q3,FALSE,16000,305,6400,225.05,270.46,TRUE,5355.87,16114353,1043.828,271.884,1045.25,0.228775,17133,13378038
1327835,native,s11_3,scale_mid/relief_q3,FALSE,16000,305,6400,144.17,269.49,TRUE,4980.4,13934200,1419.599,214.009,728.42,0.154085,14806,13378038
1369080,native,s8_7,scale_fine/relief_q4,FALSE,15000,305,6096,396.72,267.42,TRUE,4655.07,12173200,1440.844,399.93,1577.18,0.352171,13396,11758041
1376589,native,s9_4,scale_mid/relief_q1,TRUE,16000,305,5638,31.46,88.79,TRUE,4851.22,13220732,786.774,22.854,103.3,0.0181741,14138,13378038
1378107,native,s2_2,scale_coarse/relief_q2,TRUE,40000,153,6705,97.02,178.04,TRUE,5861.9,76709032,843.268,129.873,743.25,0.0286066,81663,83612736
1379732,native,s4_7,scale_coarse/relief_q4,FALSE,31680,153,5486,269.58,353.71,TRUE,4877.26,53103276,608.578,306.793,1054.77,0.0691252,58233,52447259
1386481,native,s11_4,scale_mid/relief_q3,FALSE,16000,305,6096,183.54,270.39,TRUE,4726.15,12547798,1370.251,159.762,874.22,0.0212766,13308,13378038
1414818,native,s2_1,scale_coarse/relief_q2,FALSE,31680,153,6096,129.44,178.4,TRUE,4983.86,55449859,1112.109,127.926,602.6,0.0539096,59678,52447259
